cmname,date,price
Maize,2007,170.71810506666662
Maize,2008,190.79993867924526
Maize (local) - Retail,2009,186.84120266343825
Maize (local) - Retail,2010,181.790092601432
Maize (local) - Retail,2011,196.06916829836825
Maize (local) - Retail,2012,224.08190250000004
Maize (local) - Retail,2013,219.6680320843091
Maize (local) - Retail,2014,208.6720371111111
Maize (local) - Retail,2015,198.5885272727272
Maize (local) - Retail,2016,206.67718060747663
Maize (local) - Retail,2017,217.26576576576576
Maize (local) - Retail,2018,208.5340050377834
Maize (local) - Retail,2019,212.64496314496319
Maize (local) - Retail,2020,218.5416671875
