cmname,date,price
Millet - Retail,2000,127.7118
Millet - Retail,2001,138.960075
Millet - Retail,2002,215.92645
Millet - Retail,2003,169.409725
Millet - Retail,2004,136.31075
Millet - Retail,2005,199.61110833333336
Millet - Retail,2006,168.75
Millet - Retail,2007,180.3239113793103
Millet - Retail,2008,208.5540138671875
Millet - Retail,2009,199.13229941860462
Millet - Retail,2010,175.79875534709197
Millet - Retail,2011,191.32235831775702
Millet - Retail,2012,224.25516474576276
Millet - Retail,2013,233.4941357407407
Millet - Retail,2014,229.425888
Millet - Retail,2015,211.44308388429752
Millet - Retail,2016,202.71916978021977
Millet - Retail,2017,238.19292035398232
Millet - Retail,2018,211.59727626459144
Millet - Retail,2019,229.0623373046875
Millet - Retail,2020,250.2366271604938
