cmname,date,price
Rice (local) - Retail,2007,217.37800824742268
Rice (local) - Retail,2008,302.0628426229509
Rice (local) - Retail,2009,271.6051090452262
Rice (local) - Retail,2010,260.3693295857988
Rice (local) - Retail,2011,273.79743538461537
Rice (local) - Retail,2012,282.67856904761913
Rice (local) - Retail,2013,270.82110543478257
Rice (local) - Retail,2014,259.64126797752806
Rice (local) - Retail,2015,260.7295503067485
Rice (local) - Retail,2016,266.88873351955306
Rice (local) - Retail,2017,268.37254901960785
Rice (local) - Retail,2018,282.9454545454545
Rice (local) - Retail,2019,294.5411111111111
Rice (local) - Retail,2020,292.5357142857143
