cmname,date,price
Sorghum - Retail,2000,126.503475
Sorghum - Retail,2001,155.13194166666668
Sorghum - Retail,2002,206.2642857142857
Sorghum - Retail,2003,186.84895833333331
Sorghum - Retail,2004,139.06519999999998
Sorghum - Retail,2005,202.92735
Sorghum - Retail,2006,176.39645
Sorghum - Retail,2007,183.18515058548007
Sorghum - Retail,2008,200.05492465753417
Sorghum - Retail,2009,192.29278728606357
Sorghum - Retail,2010,180.2337953316953
Sorghum - Retail,2011,195.0302656716418
Sorghum - Retail,2012,231.8088140992167
Sorghum - Retail,2013,222.97066352040818
Sorghum - Retail,2014,228.7721833333333
Sorghum - Retail,2015,231.20807920227924
Sorghum - Retail,2016,221.348051948052
Sorghum - Retail,2017,247.2309941520468
Sorghum - Retail,2018,263.8
Sorghum - Retail,2019,253.93236301369862
Sorghum - Retail,2020,243.53666600000003
