cmname,date,price,adm1id,mktid,cmid,ptid,umid,catid,default
Maize (imported) - Retail,2000,153.1375,2636.0,447.0,158.0,15.0,5.0,1.0,
Maize (imported) - Retail,2001,164.70347999999998,2636.0,447.0,158.0,15.0,5.0,1.0,
Maize (imported) - Retail,2002,160.9323,2636.0,447.0,158.0,15.0,5.0,1.0,
Maize (imported) - Retail,2003,151.70833333333334,2636.0,447.0,158.0,15.0,5.0,1.0,
Maize (imported) - Retail,2004,134.09166666666667,2636.0,447.0,158.0,15.0,5.0,1.0,
Maize (imported) - Retail,2005,155.12820833333333,2636.0,447.0,158.0,15.0,5.0,1.0,
Maize (imported) - Retail,2006,152.41666666666666,2636.0,447.0,158.0,15.0,5.0,1.0,
Maize (imported) - Retail,2007,165.8620254237288,33264.70169491525,429.8135593220339,158.0,15.0,5.0,1.0,
Maize (imported) - Retail,2008,199.8543081632653,30464.173469387755,431.5748299319728,158.0,15.0,5.0,1.0,
Maize (imported) - Retail,2009,191.20918938356164,32347.99315068493,430.7945205479452,158.0,15.0,5.0,1.0,
Maize (imported) - Retail,2010,191.0532124497992,32424.036144578313,431.7951807228916,158.0,15.0,5.0,1.0,
Maize (imported) - Retail,2011,205.56985343137256,32548.651960784315,435.19117647058823,158.0,15.0,5.0,1.0,
Maize (imported) - Retail,2012,245.75340154440153,32613.401544401546,441.2046332046332,158.0,15.0,5.0,1.0,
Maize (imported) - Retail,2013,235.00678687782803,32321.506787330316,436.33031674208144,158.0,15.0,5.0,1.0,
Maize (imported) - Retail,2014,223.32517597402594,31785.37012987013,434.5974025974026,158.0,15.0,5.0,1.0,
Maize (imported) - Retail,2015,217.51947445652172,28457.418478260868,437.79347826086956,158.0,15.0,5.0,1.0,
Maize (imported) - Retail,2016,221.30685042372883,24912.110169491527,434.8050847457627,158.0,15.0,5.0,1.0,
Maize (imported) - Retail,2017,219.91695501730104,26893.134948096886,431.16608996539793,158.0,15.0,5.0,1.0,
Maize (imported) - Retail,2018,219.9497716894977,31989.06392694064,430.7488584474886,158.0,15.0,5.0,1.0,
Maize (imported) - Retail,2019,222.93279539170504,32449.20737327189,430.0,158.0,15.0,5.0,1.0,
Maize (imported) - Retail,2020,214.49652708333335,31668.270833333332,431.5,158.0,15.0,5.0,1.0,
Maize (local) - Retail,2007,170.71810506666665,19722.082666666665,432.1546666666667,56.0,15.0,5.0,1.0,
Maize (local) - Retail,2008,190.79993867924523,20338.776729559748,428.6163522012579,56.0,15.0,5.0,1.0,
Maize (local) - Retail,2009,186.84120266343825,25281.89588377724,427.32929782082323,56.0,15.0,5.0,1.0,
Maize (local) - Retail,2010,181.79009260143198,21991.766109785203,428.1837708830549,56.0,15.0,5.0,1.0,
Maize (local) - Retail,2011,196.06916829836828,20903.37529137529,439.6923076923077,56.0,15.0,5.0,1.0,
Maize (local) - Retail,2012,224.08190250000004,19068.695,457.965,56.0,15.0,5.0,1.0,
Maize (local) - Retail,2013,219.6680320843091,16769.370023419204,492.44262295081967,56.0,15.0,5.0,1.0,
Maize (local) - Retail,2014,208.6720371111111,17997.164444444443,532.4,56.0,15.0,5.0,1.0,
Maize (local) - Retail,2015,198.58852727272722,15372.358441558441,534.8753246753247,56.0,15.0,5.0,1.0,
Maize (local) - Retail,2016,206.67718060747663,14927.63785046729,524.9906542056075,56.0,15.0,5.0,1.0,
Maize (local) - Retail,2017,217.26576576576576,14467.718468468469,530.490990990991,56.0,15.0,5.0,1.0,
Maize (local) - Retail,2018,208.53400503778337,18836.939546599497,525.5037783375315,56.0,15.0,5.0,1.0,
Maize (local) - Retail,2019,212.64496314496316,18426.700245700245,535.2211302211302,56.0,15.0,5.0,1.0,
Maize (local) - Retail,2020,218.5416671875,17171.46875,507.109375,56.0,15.0,5.0,1.0,
Millet - Retail,2000,127.7118,2636.0,447.0,73.0,15.0,5.0,1.0,
